Environment:
	Python: 3.6.8
	PyTorch: 1.7.1
	Torchvision: 0.8.2
	CUDA: 10.2
	CUDNN: 7605
	NumPy: 1.19.5
	PIL: 8.3.2
Args:
	algorithm: IB_ERM
	checkpoint_freq: None
	data_dir: ./domainbed/data/MNIST
	dataset: ColoredMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 1
	output_dir: ./sweep_ib_cmnist/6d9bec8417d5b1f7b56fe58c646d0576
	save_model_every_checkpoint: False
	seed: 164944930
	skip_model_save: False
	steps: None
	task: domain_generalization
	test_envs: [0, 1]
	trial_seed: 0
	uda_holdout_fraction: 0
HParams:
	batch_size: 372
	class_balanced: False
	data_augmentation: True
	ib_lambda: 2.661822006035993
	ib_penalty_anneal_iters: 1222
	lr: 0.00011906162909279594
	nonlinear_classifier: False
	resnet18: False
	resnet_dropout: 0.5
	weight_decay: 0.0
IB_penalty    env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  epoch         loss          mem_gb        nll           step          step_time    
0.0285599753  0.1740411399  0.1858122589  0.2629238764  0.2644663523  0.8429849467  0.8422631805  0.0000000000  0.6534479260  0.5690646172  0.6534479260  0             0.2202680111 
0.1693873595  0.0987250911  0.1084440634  0.2038356458  0.2021003000  0.9003589222  0.8934847835  1.9928215568  0.3277302577  0.5732173920  0.3277302577  100           0.0543823624 
0.1673359808  0.0987250911  0.1084440634  0.2038356458  0.2021003000  0.9003589222  0.8934847835  3.9856431135  0.3157484677  0.5732173920  0.3157484677  200           0.0612535286 
0.1475167161  0.0987250911  0.1084440634  0.2038356458  0.2021003000  0.9003589222  0.8934847835  5.9784646703  0.3109503858  0.5732173920  0.3109503858  300           0.1716224647 
0.1279135504  0.0987250911  0.1084440634  0.2038356458  0.2021003000  0.9003589222  0.8934847835  7.9712862270  0.3050003830  0.5732173920  0.3050003830  400           0.1074080372 
0.1187611703  0.0987250911  0.1084440634  0.2038356458  0.2021003000  0.9003589222  0.8934847835  9.9641077838  0.3070644809  0.5732173920  0.3070644809  500           0.0811944962 
0.1198859785  0.0987250911  0.1084440634  0.2038892163  0.2021003000  0.9004124926  0.8934847835  11.956929340  0.2971184956  0.5732173920  0.2971184956  600           0.0877380943 
0.1154987753  0.1007606600  0.1105872267  0.2061927466  0.2036005144  0.9001982107  0.8932704672  13.949750897  0.2945772238  0.5732173920  0.2945772238  700           0.0805417204 
0.1130060565  0.0987250911  0.1084440634  0.2038356458  0.2021003000  0.9003589222  0.8934847835  15.942572454  0.2820608991  0.5732173920  0.2820608991  800           0.0882491016 
0.1070470840  0.0987250911  0.1084440634  0.2038356458  0.2021003000  0.9003589222  0.8934847835  17.935394010  0.2854469097  0.5732173920  0.2854469097  900           0.0803604674 
0.1055526340  0.0987250911  0.1084440634  0.2038356458  0.2021003000  0.9003589222  0.8934847835  19.928215567  0.2852477103  0.5732173920  0.2852477103  1000          0.0460331273 
0.1010171764  0.0988322263  0.1084440634  0.2038892163  0.2021003000  0.9003589222  0.8934847835  21.921037124  0.2812713067  0.5732173920  0.2812713067  1100          0.0485153151 
0.0964357117  0.0989929291  0.1086583798  0.2042106391  0.2023146164  0.9003589222  0.8934847835  23.913858681  0.2767853396  0.5732173920  0.2767853396  1200          0.0471411729 
0.0408276089  0.0987250911  0.1084440634  0.2038356458  0.2021003000  0.9003589222  0.8934847835  25.906680237  0.3542685476  0.5732173920  0.3542685476  1300          0.0475950336 
0.0207216198  0.0995286051  0.1088726961  0.2047999143  0.2021003000  0.9004660631  0.8932704672  27.899501794  0.3541340414  0.5732173920  0.3541340414  1400          0.0472103286 
0.0190666864  0.0995821727  0.1086583798  0.2043177800  0.2029575654  0.9006803450  0.8934847835  29.892323351  0.3309452522  0.5732173920  0.3309452522  1500          0.1589088941 
0.0174551942  0.1041354189  0.1150878697  0.2086569883  0.2068152593  0.9029838753  0.8917702529  31.885144908  0.3145193088  0.5732173920  0.3145193088  1600          0.0771501231 
0.0163066588  0.1087422327  0.1183026147  0.2149247335  0.2108872696  0.9043231371  0.8902700386  33.877966464  0.3034007916  0.5732173920  0.3034007916  1700          0.0998848295 
0.0154936293  0.1162952646  0.1266609516  0.2185139551  0.2196742392  0.9088766272  0.8876982426  35.870788021  0.2869932036  0.5732173920  0.2869932036  1800          0.0812219524 
0.0151953832  0.1361152775  0.1461637377  0.2359779290  0.2316759537  0.9167514866  0.8806258037  37.863609578  0.2703235452  0.5732173920  0.2703235452  1900          0.0887374043 
0.0148908600  0.1617741590  0.1740248607  0.2544061713  0.2556793828  0.9297691113  0.8726960994  39.856431135  0.2517347090  0.5732173920  0.2517347090  2000          0.0813040280 
0.0146206129  0.1679344333  0.1828118303  0.2650131248  0.2616802400  0.9416081856  0.8737676811  41.849252691  0.2378366688  0.5732173920  0.2378366688  2100          0.0763188672 
0.0145667454  0.1593100493  0.1748821260  0.2532811914  0.2494642092  0.9430010178  0.8731247321  43.842074248  0.2125520270  0.5732173920  0.2125520270  2200          0.0538189054 
0.0148271819  0.1509535033  0.1577368195  0.2469063052  0.2430347192  0.9522151390  0.8782683240  45.834895805  0.1923393978  0.5732173920  0.1923393978  2300          0.0472604036 
0.0145878421  0.2078422970  0.2141020146  0.2972089784  0.2929704243  0.9679112873  0.8596228033  47.827717362  0.1806044216  0.5732173920  0.1806044216  2400          0.0478663325 
