Environment:
	Python: 3.6.8
	PyTorch: 1.7.1
	Torchvision: 0.8.2
	CUDA: 10.2
	CUDNN: 7605
	NumPy: 1.19.5
	PIL: 8.3.2
Args:
	algorithm: IB_IRM
	checkpoint_freq: None
	data_dir: ./domainbed/data/MNIST
	dataset: ColoredMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 2
	output_dir: ./sweep_ib_cmnist/95348d56dcdb464b6eec777421f4202d
	save_model_every_checkpoint: False
	seed: 110136630
	skip_model_save: False
	steps: None
	task: domain_generalization
	test_envs: [1, 2]
	trial_seed: 1
	uda_holdout_fraction: 0
HParams:
	batch_size: 61
	class_balanced: False
	data_augmentation: True
	ib_lambda: 60.89776169157783
	ib_penalty_anneal_iters: 352
	irm_lambda: 0.5404833338507985
	irm_penalty_anneal_iters: 1
	lr: 0.0025521952552627065
	nonlinear_classifier: False
	resnet18: False
	resnet_dropout: 0.5
	weight_decay: 0.0
IB_penalty    IRM_penalty   env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  epoch         loss          mem_gb        nll           step          step_time    
0.0299970377  -0.000024663  0.7476430255  0.7486069438  0.6862913162  0.6997428204  0.2594953662  0.2591084441  0.0000000000  0.7012855411  0.0944070816  0.7012855411  0             0.1860761642 
0.2178481529  0.1350225200  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0997482188  0.0985855122  0.3267798789  0.4501875629  0.0985598564  0.4501875629  100           0.0377378893 
0.2209113275  0.0030624407  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0998553597  0.0985855122  0.6535597579  0.3394314131  0.0985598564  0.3394314131  200           0.0328699398 
0.2239227352  0.0022786448  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0998553597  0.0985855122  0.9803396368  0.3247102061  0.0985598564  0.3247102061  300           0.0386613941 
0.1202357485  0.0019212196  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0997482188  0.0985855122  1.3071195157  0.8126045874  0.0985598564  0.8126045874  400           0.0341815448 
0.0017558033  0.0162655465  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0997482188  0.0985855122  1.6338993947  0.5856565729  0.0985598564  0.5856565729  500           0.0355441332 
0.0015017757  0.0118062487  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0997482188  0.0985855122  1.9606792736  0.4608065701  0.0985598564  0.4608065701  600           0.1103403115 
0.0011543302  0.0068707404  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0997482188  0.0985855122  2.2874591525  0.4454289362  0.0985598564  0.4454289362  700           0.0885855913 
0.0009104515  0.0042805984  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0997482188  0.0985855122  2.6142390314  0.4185582536  0.0985598564  0.4185582536  800           0.0939971113 
0.0007839217  0.0024970400  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0997482188  0.0985855122  2.9410189104  0.3935525779  0.0985598564  0.3935525779  900           0.0869316816 
0.0006592284  0.0050184423  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0997482188  0.0985855122  3.2677987893  0.3997916295  0.0985598564  0.3997916295  1000          0.0844984055 
0.0006277867  0.0028025370  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0997482188  0.0985855122  3.5945786682  0.3810077170  0.0985598564  0.3810077170  1100          0.0883426929 
0.0006093791  0.0036365493  0.8815620313  0.8846978140  0.7880752129  0.7970424346  0.1504794557  0.1489498500  3.9213585472  0.3714296570  0.0985598564  0.3714296570  1200          0.0428545213 
0.0005635447  0.0017095844  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0998017893  0.0987998285  4.2481384261  0.3730003177  0.0985598564  0.3730003177  1300          0.0421115685 
0.0005241990  0.0038355132  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0997482188  0.0985855122  4.5749183050  0.3641648410  0.0985598564  0.3641648410  1400          0.0389168835 
0.0004769783  0.0027249840  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0997482188  0.0985855122  4.9016981840  0.3571950103  0.0985598564  0.3571950103  1500          0.0405871892 
0.0004251527  0.0010567967  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0998017893  0.0987998285  5.2284780629  0.3768647988  0.0985598564  0.3768647988  1600          0.0352564740 
0.0004502230  0.0009787370  0.8983822584  0.9016288041  0.8003964215  0.8105443635  0.1003374940  0.0996570939  5.5552579418  0.3575766852  0.0985598564  0.3575766852  1700          0.0636006975 
0.0004354954  -0.001195941  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0997482188  0.0985855122  5.8820378208  0.3507870550  0.0985598564  0.3507870550  1800          0.0926462460 
0.0004154515  0.0018913824  0.8984893936  0.9016288041  0.8003964215  0.8105443635  0.0997482188  0.0985855122  6.2088176997  0.3507772763  0.0985598564  0.3507772763  1900          0.0793906355 
0.0003862359  0.0050150882  0.8984358260  0.9016288041  0.8003428510  0.8103300471  0.1004446349  0.0996570939  6.5355975786  0.3576866244  0.0985598564  0.3576866244  2000          0.0793423200 
0.0004203784  0.0039118473  0.8984893936  0.9014144878  0.8002892805  0.8105443635  0.1000160711  0.0990141449  6.8623774575  0.3242761005  0.0985598564  0.3242761005  2100          0.0922776198 
0.0003789740  0.0021674275  0.8984893936  0.9018431204  0.8003964215  0.8105443635  0.0998553597  0.0987998285  7.1891573365  0.3396528627  0.0985598564  0.3396528627  2200          0.0746272016 
0.0003715153  0.0024244758  0.8985429612  0.9018431204  0.8003428510  0.8105443635  0.0999625007  0.0992284612  7.5159372154  0.3390650088  0.0985598564  0.3390650088  2300          0.0919929433 
0.0003697128  0.0027667058  0.8985429612  0.9014144878  0.8001821396  0.8105443635  0.1001232121  0.0994427775  7.8427170943  0.3314642856  0.0985598564  0.3314642856  2400          0.0425509024 
0.0003614641  -0.001476270  0.8983822584  0.9018431204  0.8002892805  0.8103300471  0.1007124873  0.1007286755  8.1694969733  0.3354490408  0.0985598564  0.3354490408  2500          0.0403588700 
0.0003569686  -0.000167819  0.8984358260  0.9018431204  0.8002892805  0.8107586798  0.1001232121  0.0998714102  8.4962768522  0.3164676286  0.0985598564  0.3164676286  2600          0.0378014827 
0.0003394393  0.0007520253  0.8981144204  0.9007715388  0.7997535758  0.8096870982  0.1024803129  0.1024432062  8.8230567311  0.3238694070  0.0985598564  0.3238694070  2700          0.0406061316 
0.0003483293  0.0026063466  0.8984893936  0.9018431204  0.8003964215  0.8105443635  0.0998553597  0.0990141449  9.1498366101  0.3045441948  0.0985598564  0.3045441948  2800          0.0312688565 
0.0003208528  0.0003683950  0.8987036640  0.9014144878  0.8000214282  0.8103300471  0.1003374940  0.0992284612  9.4766164890  0.3251413988  0.0985598564  0.3251413988  2900          0.0322251248 
0.0003234640  0.0014463627  0.8984358260  0.9012001715  0.8003428510  0.8109729961  0.1006053463  0.1005143592  9.8033963679  0.3095142207  0.0985598564  0.3095142207  3000          0.1044439268 
0.0003063663  0.0007752709  0.8979001500  0.8994856408  0.7992714416  0.8105443635  0.1044624203  0.1050150021  10.130176246  0.3152636546  0.0985598564  0.3152636546  3100          0.0709489179 
0.0002920857  0.0008876850  0.8985429612  0.9018431204  0.8003428510  0.8111873125  0.1004446349  0.1005143592  10.456956125  0.3265361715  0.0985598564  0.3265361715  3200          0.0701751208 
0.0003011223  -0.001492519  0.8985965288  0.9016288041  0.8003964215  0.8105443635  0.0998553597  0.0987998285  10.783736004  0.3046400099  0.0985598564  0.3046400099  3300          0.0579079986 
0.0002843913  0.0030947713  0.8985429612  0.9012001715  0.8001821396  0.8105443635  0.1002303530  0.0998714102  11.110515883  0.3183834960  0.0985598564  0.3183834960  3400          0.0667782974 
0.0002652529  0.0009853796  0.8984358260  0.9016288041  0.8001285691  0.8105443635  0.1001232121  0.1005143592  11.437295762  0.3188683972  0.0985598564  0.3188683972  3500          0.0964368725 
0.0002796404  -0.001161884  0.8974180416  0.9007715388  0.7992714416  0.8086155165  0.1093373333  0.1114444921  11.764075641  0.3042152886  0.0985598564  0.3042152886  3600          0.0820079207 
0.0002667423  0.0034103133  0.8983286908  0.9016288041  0.8003964215  0.8105443635  0.1006053463  0.0998714102  12.090855520  0.3050218743  0.0985598564  0.3050218743  3700          0.0386817980 
0.0002493251  0.0027412489  0.8983286908  0.9020574368  0.8003428510  0.8105443635  0.1005517759  0.0994427775  12.417635399  0.3081557584  0.0985598564  0.3081557584  3800          0.0415188694 
0.0002407217  0.0016473003  0.8984893936  0.9016288041  0.8002357101  0.8103300471  0.1006589168  0.1000857265  12.744415278  0.3187581706  0.0985598564  0.3187581706  3900          0.0382926869 
0.0002646875  0.0008988835  0.8984893936  0.9018431204  0.8003428510  0.8101157308  0.1002303530  0.0992284612  13.071195157  0.3021123102  0.0985598564  0.3021123102  4000          0.0380172873 
0.0002383276  0.0004480161  0.8973109064  0.8994856408  0.7988428778  0.8075439348  0.1127122730  0.1146592370  13.397975036  0.3065340109  0.0985598564  0.3065340109  4100          0.0373279643 
0.0002479909  0.0006302717  0.8978465824  0.8988426918  0.7992178711  0.8094727818  0.1078909305  0.1073724818  13.724754915  0.3070562468  0.0985598564  0.3070562468  4200          0.0327052927 
0.0002478679  0.0000895699  0.8984358260  0.9016288041  0.8004499920  0.8103300471  0.1002303530  0.0998714102  14.051534794  0.2980550747  0.0985598564  0.2980550747  4300          0.0671140075 
0.0002429802  0.0032217478  0.8950074995  0.8956279468  0.7983607436  0.8041148736  0.1306583811  0.1330904415  14.378314673  0.3095179926  0.0985598564  0.3095179926  4400          0.0642125607 
0.0002401706  0.0023039897  0.8983286908  0.9016288041  0.8000749987  0.8103300471  0.1013017625  0.1013716245  14.705094551  0.3050268225  0.0985598564  0.3050268225  4500          0.0828301072 
0.0002341918  0.0000362588  0.8982751232  0.9018431204  0.8001285691  0.8107586798  0.1008196282  0.0996570939  15.031874430  0.2961440104  0.0985598564  0.2961440104  4600          0.0737551951 
0.0002282448  0.0028981980  0.8985429612  0.9018431204  0.8003964215  0.8105443635  0.0999089302  0.0987998285  15.358654309  0.2997312485  0.0985598564  0.2997312485  4700          0.0675541544 
0.0002198237  0.0037956203  0.8979001500  0.9001285898  0.8002357101  0.8105443635  0.1022660310  0.1035147878  15.685434188  0.3090797760  0.0985598564  0.3090797760  4800          0.0744079828 
0.0002123259  -0.000023973  0.8929183630  0.8911273039  0.7983607436  0.8075439348  0.1347297370  0.1358765538  16.012214067  0.3078512204  0.0985598564  0.3078512204  4900          0.0774608159 
