Environment:
	Python: 3.6.8
	PyTorch: 1.7.1
	Torchvision: 0.8.2
	CUDA: 10.2
	CUDNN: 7605
	NumPy: 1.19.5
	PIL: 8.3.2
Args:
	algorithm: IB_ERM
	checkpoint_freq: None
	data_dir: ./domainbed/data/MNIST
	dataset: ColoredMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: ./sweep_ib_cmnist/cc4013eced56ad6b299bdd2bc0cee4ab
	save_model_every_checkpoint: False
	seed: 1410081180
	skip_model_save: False
	steps: None
	task: domain_generalization
	test_envs: [1, 2]
	trial_seed: 1
	uda_holdout_fraction: 0
HParams:
	batch_size: 64
	class_balanced: False
	data_augmentation: True
	ib_lambda: 100.0
	ib_penalty_anneal_iters: 500
	lr: 0.001
	nonlinear_classifier: False
	resnet18: False
	resnet_dropout: 0.0
	weight_decay: 0.0
IB_penalty    env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  epoch         loss          mem_gb        nll           step          step_time    
0.0261538569  0.5753696165  0.5848692670  0.5531151229  0.5544363480  0.4098676809  0.4022717531  0.0000000000  0.6954351664  0.0979819298  0.6954351664  0             0.1811976433 
0.1704853630  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  0.3428510205  0.3537741764  0.1021347046  0.3537741764  100           0.0563371825 
0.1737748171  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  0.6857020410  0.3338364354  0.1021347046  0.3338364354  200           0.0668764520 
0.1670859285  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  1.0285530616  0.3468609892  0.1021347046  0.3468609892  300           0.0770630479 
0.1578835447  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  1.3714040821  0.3496384393  0.1021347046  0.3496384393  400           0.0892103767 
0.1509941828  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  1.7142551026  0.4684898295  0.1021347046  0.4684898295  500           0.0297827625 
0.0023555485  0.8734197557  0.8789112730  0.7803074945  0.7880411487  0.1265334548  0.1326618088  2.0571061231  0.9053730881  0.1021347046  0.9053730881  600           0.0291464114 
0.0005278310  0.5527105207  0.5520788684  0.5481866395  0.5372910416  0.4817592543  0.4965709387  2.3999571436  0.6575307870  0.1021347046  0.6575307870  700           0.0297677016 
0.0008322754  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  2.7428081641  0.5876059508  0.1021347046  0.5876059508  800           0.0316721535 
0.0009310625  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  3.0856591847  0.5296463540  0.1021347046  0.5296463540  900           0.0328877544 
0.0009274698  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  3.4285102052  0.4933207157  0.1021347046  0.4933207157  1000          0.0306947398 
0.0008105834  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  3.7713612257  0.4704626951  0.1021347046  0.4704626951  1100          0.1593542171 
0.0008107802  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  4.1142122462  0.4522255719  0.1021347046  0.4522255719  1200          0.0839992833 
0.0007404296  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  4.4570632667  0.4352627364  0.1021347046  0.4352627364  1300          0.0682820439 
0.0007072336  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  4.7999142872  0.4394886324  0.1021347046  0.4394886324  1400          0.0625344563 
0.0006289539  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  5.1427653078  0.4283353987  0.1021347046  0.4283353987  1500          0.0523817730 
0.0006456441  0.8964538247  0.9065580797  0.7976643274  0.8043291899  0.0989446617  0.1015859408  5.4856163283  0.4013205597  0.1021347046  0.4013205597  1600          0.0751411152 
0.0006338568  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  5.8284673488  0.4004322764  0.1021347046  0.4004322764  1700          0.0637423754 
0.0006003610  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  6.1713183693  0.3900625905  0.1021347046  0.3900625905  1800          0.0533983946 
0.0005701955  0.8964538247  0.9065580797  0.7977178979  0.8043291899  0.0988375208  0.1015859408  6.5141693898  0.3838345519  0.1021347046  0.3838345519  1900          0.0317257428 
0.0005332584  0.8964538247  0.9063437634  0.7977178979  0.8045435062  0.0988375208  0.1015859408  6.8570204103  0.3908182064  0.1021347046  0.3908182064  2000          0.0289480329 
0.0005062611  0.8965073923  0.9065580797  0.7973429046  0.8036862409  0.1024267424  0.1039434205  7.1998714309  0.3844949946  0.1021347046  0.3844949946  2100          0.0310948658 
