Environment:
	Python: 3.6.8
	PyTorch: 1.7.1
	Torchvision: 0.8.2
	CUDA: 10.2
	CUDNN: 7605
	NumPy: 1.19.5
	PIL: 8.3.2
Args:
	algorithm: IB_IRM
	checkpoint_freq: None
	data_dir: ./domainbed/data/MNIST
	dataset: ColoredMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 5
	output_dir: ./sweep_ib_cmnist/d50f56a63f184e2295b4c110d54be4f1
	save_model_every_checkpoint: False
	seed: 1408316512
	skip_model_save: False
	steps: None
	task: domain_generalization
	test_envs: [0, 2]
	trial_seed: 0
	uda_holdout_fraction: 0
HParams:
	batch_size: 39
	class_balanced: False
	data_augmentation: True
	ib_lambda: 3.2917587403931643
	ib_penalty_anneal_iters: 592
	irm_lambda: 2640.1763536267918
	irm_penalty_anneal_iters: 643
	lr: 0.00023968517445719083
	nonlinear_classifier: False
	resnet18: False
	resnet_dropout: 0.5
	weight_decay: 0.0
IB_penalty    IRM_penalty   env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  epoch         loss          mem_gb        nll           step          step_time    
0.0280102119  -0.000222696  0.5003749732  0.4903557651  0.4968661274  0.4946420917  0.4859913216  0.4875696528  0.0000000000  0.6685174108  0.0602550507  0.6685174108  0             0.2092664242 
0.1266404100  0.0053600334  0.9000964217  0.8973424775  0.7975571865  0.7953279040  0.1045695613  0.1000857265  0.2089248406  0.5230477551  0.0644078255  0.5230477551  100           0.0439977455 
0.1452259026  0.0008643457  0.9000964217  0.8973424775  0.7975571865  0.7953279040  0.1045695613  0.1000857265  0.4178496813  0.5022899583  0.0644078255  0.5022899583  200           0.0438759279 
0.1406639820  0.0006662515  0.9000964217  0.8973424775  0.7975571865  0.7953279040  0.1045695613  0.1000857265  0.6267745219  0.5156376722  0.0644078255  0.5156376722  300           0.0375174689 
0.1399046993  -0.001388254  0.9000964217  0.8973424775  0.7975571865  0.7953279040  0.1045695613  0.1000857265  0.8356993625  0.4954187441  0.0644078255  0.4954187441  400           0.1022194433 
0.1292292498  -0.000284027  0.9000964217  0.8973424775  0.7975571865  0.7953279040  0.1045695613  0.1000857265  1.0446242031  0.5075497317  0.0644078255  0.5075497317  500           0.1050307584 
0.1127320162  0.0018612372  0.8947932291  0.8926275182  0.7962714952  0.7942563223  0.1279798575  0.1290184312  1.2535490438  0.5040576082  0.0644078255  0.5040576082  600           0.0864581442 
0.0232645953  0.0075794860  0.9000964217  0.8973424775  0.7975036160  0.7953279040  0.1046231317  0.1000857265  1.4624738844  14.545206865  0.0644078255  14.545206865  700           0.0931644559 
0.0234492519  0.0014537302  0.9000964217  0.8973424775  0.7975571865  0.7953279040  0.1045695613  0.1000857265  1.6713987250  4.4743884671  0.0644078255  4.4743884671  800           0.0744229865 
0.0357118238  0.0009057946  0.9000964217  0.8973424775  0.7975571865  0.7953279040  0.1045695613  0.1000857265  1.8803235657  3.0605267529  0.0644078255  3.0605267529  900           0.0650583267 
0.0438636319  0.0002860634  0.9000964217  0.8973424775  0.7975571865  0.7953279040  0.1045695613  0.1000857265  2.0892484063  1.4361626267  0.0644078255  1.4361626267  1000          0.0627689075 
0.0565551968  0.0005916486  0.9000964217  0.8973424775  0.7975571865  0.7953279040  0.1045695613  0.1000857265  2.2981732469  2.2543266742  0.0644078255  2.2543266742  1100          0.0450352335 
0.0446364311  0.0021197152  0.5020355689  0.5130732962  0.5051159801  0.5081440206  0.5132051213  0.5107158165  2.5070980875  6.2985545188  0.0644078255  6.2985545188  1200          0.0436138439 
0.0341565924  0.0004886353  0.5017677309  0.5128589799  0.5049016982  0.5072867553  0.5133658328  0.5107158165  2.7160229282  1.9947431896  0.0644078255  1.9947431896  1300          0.0389670205 
0.0300984414  0.0011630848  0.8694021856  0.8656236605  0.7788610918  0.7779682812  0.1848716987  0.1870981569  2.9249477688  3.7778379901  0.0644078255  3.7778379901  1400          0.0395707679 
0.0289497005  -0.000152705  0.5387293765  0.5473639091  0.5375796861  0.5349335619  0.4905983822  0.4869267038  3.1338726094  0.3113998412  0.0644078255  0.3113998412  1500          0.0380613828 
0.0307120655  -0.000333498  0.8945253910  0.8924132019  0.7962714952  0.7942563223  0.1291048374  0.1298756965  3.3427974500  -0.163209722  0.0644078255  -0.163209722  1600          0.1582379556 
0.0406589684  -0.000192692  0.9000964217  0.8973424775  0.7975571865  0.7953279040  0.1045695613  0.1000857265  3.5517222907  0.2106006870  0.0644078255  0.2106006870  1700          0.0632114100 
0.0453036473  0.0019181751  0.8961324191  0.8932704672  0.7968071999  0.7942563223  0.1221406761  0.1208744106  3.7606471313  5.7835554743  0.0644078255  5.7835554743  1800          0.0623360252 
0.0391598365  0.0001346493  0.9000964217  0.8973424775  0.7975571865  0.7953279040  0.1045695613  0.1000857265  3.9695719719  1.0703493728  0.0644078255  1.0703493728  1900          0.0804736042 
0.0479248112  0.0008075061  0.9000964217  0.8973424775  0.7975571865  0.7953279040  0.1045695613  0.1000857265  4.1784968126  2.8559717467  0.0644078255  2.8559717467  2000          0.0775574327 
0.0463537790  0.0016416466  0.9000964217  0.8973424775  0.7975571865  0.7953279040  0.1045695613  0.1000857265  4.3874216532  5.0568341900  0.0644078255  5.0568341900  2100          0.0687031889 
